puzzle, islanderA, islanderB, solvability
0, 0, 0, 1
1, 0, 1, -1
2, 0, 2, 2
3, 0, 3, 2
4, 0, 4, -1
5, 0, 5, 1
6, 0, 6, 2
7, 0, 7, 2
8, 0, 8, 2
9, 0, 9, 2
10, 0, 10, 2
11, 0, 11, 2
12, 0, 12, 2
13, 0, 13, 2
14, 0, 14, 2
15, 0, 15, 2
16, 1, 0, -1
17, 1, 1, 1
18, 1, 2, 2
19, 1, 3, 2
20, 1, 4, 1
21, 1, 5, -1
22, 1, 6, 2
23, 1, 7, 2
24, 1, 8, 2
25, 1, 9, 2
26, 1, 10, 2
27, 1, 11, 2
28, 1, 12, 2
29, 1, 13, 2
30, 1, 14, 2
31, 1, 15, 2
32, 2, 0, 2
33, 2, 1, 2
34, 2, 2, 2
35, 2, 3, 2
36, 2, 4, 2
37, 2, 5, 2
38, 2, 6, 2
39, 2, 7, 2
40, 2, 8, 1
41, 2, 9, -1
42, 2, 10, 2
43, 2, 11, 2
44, 2, 12, -1
45, 2, 13, 1
46, 2, 14, 2
47, 2, 15, 2
48, 3, 0, 2
49, 3, 1, 2
50, 3, 2, 2
51, 3, 3, 2
52, 3, 4, 2
53, 3, 5, 2
54, 3, 6, 2
55, 3, 7, 2
56, 3, 8, -1
57, 3, 9, 1
58, 3, 10, 2
59, 3, 11, 2
60, 3, 12, 1
61, 3, 13, -1
62, 3, 14, 2
63, 3, 15, 2
64, 4, 0, -1
65, 4, 1, 1
66, 4, 2, 2
67, 4, 3, 2
68, 4, 4, 1
69, 4, 5, -1
70, 4, 6, 2
71, 4, 7, 2
72, 4, 8, 2
73, 4, 9, 2
74, 4, 10, 2
75, 4, 11, 2
76, 4, 12, 2
77, 4, 13, 2
78, 4, 14, 2
79, 4, 15, 2
80, 5, 0, 1
81, 5, 1, -1
82, 5, 2, 2
83, 5, 3, 2
84, 5, 4, -1
85, 5, 5, 1
86, 5, 6, 2
87, 5, 7, 2
88, 5, 8, 2
89, 5, 9, 2
90, 5, 10, 2
91, 5, 11, 2
92, 5, 12, 2
93, 5, 13, 2
94, 5, 14, 2
95, 5, 15, 2
96, 6, 0, 2
97, 6, 1, 2
98, 6, 2, 2
99, 6, 3, 2
100, 6, 4, 2
101, 6, 5, 2
102, 6, 6, 2
103, 6, 7, 2
104, 6, 8, -1
105, 6, 9, 1
106, 6, 10, 2
107, 6, 11, 2
108, 6, 12, 1
109, 6, 13, -1
110, 6, 14, 2
111, 6, 15, 2
112, 7, 0, 2
113, 7, 1, 2
114, 7, 2, 2
115, 7, 3, 2
116, 7, 4, 2
117, 7, 5, 2
118, 7, 6, 2
119, 7, 7, 2
120, 7, 8, 1
121, 7, 9, -1
122, 7, 10, 2
123, 7, 11, 2
124, 7, 12, -1
125, 7, 13, 1
126, 7, 14, 2
127, 7, 15, 2
128, 8, 0, 2
129, 8, 1, 2
130, 8, 2, 1
131, 8, 3, -1
132, 8, 4, 2
133, 8, 5, 2
134, 8, 6, -1
135, 8, 7, 1
136, 8, 8, 2
137, 8, 9, 2
138, 8, 10, 2
139, 8, 11, 2
140, 8, 12, 2
141, 8, 13, 2
142, 8, 14, 2
143, 8, 15, 2
144, 9, 0, 2
145, 9, 1, 2
146, 9, 2, -1
147, 9, 3, 1
148, 9, 4, 2
149, 9, 5, 2
150, 9, 6, 1
151, 9, 7, -1
152, 9, 8, 2
153, 9, 9, 2
