puzzle, door_1, door_2, treasure_count, tiger_count, consistent, solution
1, 0, 1, 0, 0, true, unknown- unknown
2, 0, 0, 0, 0, false, inconsistent
3, 0, 2, 1, 1, true, treasure- tiger
4, 0, 3, 1, 1, true, tiger- treasure
5, 0, 5, 0, 0, true, unknown- unknown
6, 0, 4, 0, 0, true, unknown- unknown
7, 0, 6, 0, 0, true, unknown- unknown
8, 0, 7, 0, 0, true, unknown- unknown
9, 0, 9, 0, 0, true, unknown- unknown
10, 0, 8, 0, 2, true, tiger- tiger
11, 0, 11, 0, 0, true, unknown- unknown
12, 0, 10, 2, 0, true, treasure- treasure
13, 0, 12, 0, 0, true, unknown- unknown
14, 0, 13, 0, 0, true, unknown- unknown
15, 1, 1, 0, 0, false, inconsistent
16, 1, 0, 0, 0, false, inconsistent
17, 1, 2, 0, 0, false, inconsistent
18, 1, 3, 0, 0, false, inconsistent
19, 1, 5, 0, 0, true, unknown- unknown
20, 1, 4, 0, 0, true, unknown- unknown
21, 1, 6, 0, 0, true, unknown- unknown
22, 1, 7, 0, 0, true, unknown- unknown
23, 1, 9, 0, 2, true, tiger- tiger
24, 1, 8, 0, 2, true, tiger- tiger
25, 1, 11, 2, 0, true, treasure- treasure
26, 1, 10, 2, 0, true, treasure- treasure
27, 1, 12, 0, 2, true, tiger- tiger
28, 1, 13, 2, 0, true, treasure- treasure
29, 2, 1, 1, 1, true, treasure- tiger
30, 2, 0, 0, 0, false, inconsistent
31, 2, 2, 1, 1, true, treasure- tiger
32, 2, 3, 0, 0, false, inconsistent
33, 2, 5, 0, 0, true, unknown- unknown
34, 2, 4, 0, 0, true, unknown- unknown
35, 2, 6, 0, 0, true, unknown- unknown
36, 2, 7, 0, 0, true, unknown- unknown
37, 2, 9, 0, 1, true, unknown- tiger
38, 2, 8, 0, 2, true, tiger- tiger
39, 2, 11, 1, 0, true, treasure- unknown
40, 2, 10, 2, 0, true, treasure- treasure
41, 2, 12, 0, 2, true, tiger- tiger
42, 2, 13, 1, 0, true, treasure- unknown
43, 3, 1, 1, 1, true, tiger- treasure
44, 3, 0, 0, 0, false, inconsistent
45, 3, 2, 0, 0, false, inconsistent
46, 3, 3, 1, 1, true, tiger- treasure
47, 3, 5, 0, 0, true, unknown- unknown
48, 3, 4, 0, 0, true, unknown- unknown
49, 3, 6, 0, 0, true, unknown- unknown
50, 3, 7, 0, 0, true, unknown- unknown
51, 3, 9, 0, 1, true, tiger- unknown
52, 3, 8, 0, 2, true, tiger- tiger
53, 3, 11, 1, 0, true, unknown- treasure
54, 3, 10, 2, 0, true, treasure- treasure
55, 3, 12, 0, 1, true, tiger- unknown
56, 3, 13, 2, 0, true, treasure- treasure
57, 4, 1, 0, 0, false, inconsistent
58, 4, 0, 0, 0, false, inconsistent
59, 4, 2, 0, 0, false, inconsistent
60, 4, 3, 0, 0, false, inconsistent
61, 4, 5, 0, 0, false, inconsistent
